,age,g,fg,threep,twop,reb,ast,pts,year,contract2020,more/less avg_salary
87,24,61,0.467,0.358,0.524,4.5,1.3,12.8,2019,3562178,0
88,33,58,0.495,0.34299999999999997,0.473,5.0,7.5,19.4,2019,30000000,1
89,27,56,0.531,0.231,0.552,7.3,2.2,10.1,2019,11709091,1
90,22,63,0.617,0.327,0.442,6.1,7.0,11.8,2019,11003782,1
91,33,65,0.45299999999999996,0.33,0.451,3.1,5.6,18.2,2019,8000000,0
92,23,55,0.436,0.348,0.602,2.7,1.4,11.2,2019,13325895,1
93,25,60,0.375,0.34700000000000003,0.415,3.8,4.9,12.9,2019,13446428,1
94,29,61,0.5,0.306,0.526,5.2,2.5,7.2,2019,8000000,0
95,26,63,0.425,0.429,0.495,7.1,1.7,18.6,2019,9258000,1
96,26,67,0.536,0.40299999999999997,0.575,4.2,1.5,19.8,2019,11750000,1
97,25,63,0.423,0.376,0.436,4.4,4.1,18.0,2019,18900000,1
98,27,71,0.42700000000000005,0.294,0.42200000000000004,3.3,1.9,15.8,2019,18975000,1
99,24,60,0.45,0.38,0.49700000000000005,4.8,4.2,25.5,2019,19500000,1
