Player,Pos,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PJ Dozier,SG,23,DEN,29,0,14.2,2.2,5.4,0.461,0.6,1.7,0.048,1.7,3.7,0.603,0.545,0.7,1,0.5,0.3,1.6,1.9,2.2,0.5,0.2,0.9,1.6,5.8
Bol Bol,PF,20,DEN,7,0,12.4,2,4,0.464,0.6,1.3,0.399,1.4,2.7,0.526,0.518,1.1,1.4,1,0.7,2,2.7,0.9,0.3,0.9,1.4,1.6,5.7
Torrey Craig,SF,29,DEN,58,27,18.5,2.1,4.6,0.357,0.8,2.4,0.243,1.4,2.3,0.5,0.464,0.4,0.6,0.871,1.1,2.2,3.3,0.8,0.4,0.6,0.4,2.3,5.4
Keita Bates-Diop,SF,24,DEN,7,0,14,1.9,4,0.345,0.4,1.3,0.378,1.4,2.7,0.46,0.414,1.1,1.4,0.584,0.6,1.9,2.4,0,0.3,0.6,0.4,1,5.3
Juan Hernangómez,PF,24,DEN,34,0,12.4,1.1,3.2,0.5,0.4,1.8,0.188,0.7,1.5,0.5,0.5,0.5,0.7,0.776,0.7,2.1,2.8,0.6,0.1,0.1,0.5,0.9,3.1
Jordan McRae,SG,28,DEN,4,0,8,0.5,1.5,0.833,0.5,1,0.388,0,0.5,0.8,0.917,0.8,1,0.788,0.3,1,1.3,1,0.5,0.3,0,0.5,2.3
Noah Vonleh,C,24,DEN,7,0,4.3,0.7,0.9,0.714,0.1,0.1,0.399,0.6,0.7,0.714,0.714,0.3,0.6,0.727,0.4,0.7,1.1,0.3,0,0,0.3,0.6,1.9
Vlatko Čančar,PF,22,DEN,14,0,3.2,0.4,1.1,0.49,0.1,0.4,0.404,0.4,0.6,0.535,0.52,0.3,0.3,0.762,0.4,0.4,0.7,0.2,0.1,0.1,0.2,0.5,1.2
Derrick Rose,PG,31,DET,50,15,26,7.4,15.1,0.442,0.9,2.9,0.402,6.5,12.1,0.491,0.548,2.4,2.8,0.859,0.5,1.9,2.4,5.6,0.8,0.3,2.5,1,18.1
Andre Drummond,C,26,DET,49,48,33.8,7.3,13.9,0.352,0,0.4,0.4,7.3,13.4,0.439,0.406,3,5.2,0.814,4.6,11.2,15.8,2.8,2,1.7,3.6,3.6,17.8
Luke Kennard,SG,23,DET,28,25,32.9,5.4,12.2,0.384,2.6,6.5,0.286,2.8,5.7,0.388,0.462,2.4,2.7,0.739,0.3,3.2,3.5,4.1,0.4,0.2,1.5,2.3,15.8
Blake Griffin,PF,30,DET,18,18,28.4,4.9,13.9,0.567,1.5,6.2,0.344,3.4,7.7,0.636,0.62,4.2,5.4,1,0.9,3.7,4.7,3.3,0.4,0.4,2.2,1.5,15.5
Reggie Jackson,PG,29,DET,14,10,27.2,5.4,14.1,0.326,2.2,5.9,0.333,3.2,8.3,0.407,0.36,1.9,2.4,0.462,0.8,2.1,2.9,5.1,0.6,0.1,1.6,1.5,14.9
Christian Wood,PF,24,DET,62,12,21.4,4.6,8.2,0.383,0.9,2.3,0.357,3.8,5.9,0.357,0.543,2.9,3.9,0.674,1.7,4.6,6.3,1,0.5,0.9,1.4,1.6,13.1
Jordan McRae,SG,28,DET,4,0,24.5,3.5,10.8,0.45,0.8,4,0.364,2.8,6.8,0.5,0.546,4,5.5,0.664,0,3.8,3.8,1.8,0,0,1.3,2.5,11.8
Brandon Knight,PG,28,DET,9,3,24.6,3.4,9,0.435,2.9,7.4,0.2,0.6,1.6,0.493,0.557,1.8,2.3,0.792,0.1,2.2,2.3,4.2,0.6,0.1,2.4,2.2,11.6
Markieff Morris,PF,30,DET,44,16,22.5,4,8.8,0.41,1.7,4.3,0.333,2.3,4.5,0.425,0.552,1.4,1.8,0.5,0.5,3.4,3.9,1.6,0.6,0.3,1.6,2.4,11
Langston Galloway,SG,28,DET,66,6,25.8,3.6,8.2,0.443,2,5,0.374,1.6,3.2,0.47,0.48,1.1,1.3,0,0.5,1.8,2.3,1.5,0.7,0.2,0.6,1.5,10.3
Sviatoslav Mykhailiuk,SF,22,DET,56,27,22.6,3,7.2,0.445,2.1,5.1,0.245,0.9,2.1,0.531,0.579,1,1.3,0.667,0.3,1.6,1.9,1.9,0.7,0.1,1.1,1.6,9
Bruce Brown,PG,23,DET,58,43,28.2,3.4,7.7,0.667,0.6,1.7,0.339,2.8,6.1,0.696,0.686,1.5,2.1,0.785,1.1,3.7,4.7,4,1.1,0.5,1.7,2.8,8.9
Tony Snell,SF,28,DET,59,57,27.8,2.9,6.5,0.39,1.7,4.3,0.375,1.2,2.2,0.464,0.449,0.5,0.5,1,0.2,1.7,1.9,2.2,0.5,0.3,0.5,1.7,8
John Henson,C,29,DET,11,6,17.1,3.1,4.6,0.482,0.2,0.5,0.287,2.9,4.2,0.55,0.539,0.5,1.2,0.672,1.3,3.1,4.4,1,0.7,0.9,1.4,2.1,6.9
Sekou Doumbouya,PF,19,DET,38,19,19.8,2.4,6.2,0.362,0.7,2.6,0.4,1.7,3.6,0.375,0.415,0.8,1.2,0.897,0.5,2.6,3.1,0.5,0.5,0.2,0.9,2.1,6.4
Thon Maker,C,22,DET,60,14,12.9,1.6,3.2,0.294,0.4,1.1,0.356,1.2,2.2,0,0.441,1.2,1.8,0.774,0.9,1.9,2.8,0.7,0.4,0.7,0.8,1.7,4.7
Tim Frazier,PG,29,DET,27,11,13.1,1.3,3.5,0.381,0.4,1.1,0.308,0.9,2.4,0.4,0.476,0.7,0.9,0.851,0.3,0.9,1.2,3.4,0.5,0.1,1.3,1.6,3.6
Khyri Thomas,SG,23,DET,8,0,7.6,0.6,2.1,0.25,0.6,1.8,0.205,0,0.4,0.25,0.25,0.3,0.5,0.873,0.1,0,0.1,0.4,0.4,0,0.4,1.1,2.1
Louis King,SF,20,DET,10,0,6.2,0.8,2.1,0.25,0.4,1.1,0.324,0.4,1,0.3,0.3,0,0.3,0.75,0.1,0.9,1,0.5,0.2,0,0.2,1,2
D'Angelo Russell,PG,23,GSW,33,33,32.1,8.3,19.2,0.457,3.6,9.7,0.391,4.6,9.5,0.424,0.511,3.4,4.4,0,0.4,3.3,3.7,6.2,0.9,0.3,3.1,1.9,23.6
